"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Ethnicity"	"Ethnicity Code"	Deaths
	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"Female"	"F"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	23
	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	21
	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	21
	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	32
	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	33
	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	"Non-Hispanic"	"2186-5"	25
	"Alabama"	"01"	"2017"	"2017"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	19
	"Alabama"	"01"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	"Non-Hispanic"	"2186-5"	24
	"Alabama"	"01"	"2017"	"2017"	"70-74 years"	"70-74"	"Female"	"F"	"Non-Hispanic"	"2186-5"	23
	"Alabama"	"01"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	"Non-Hispanic"	"2186-5"	29
	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	"Female"	"F"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2017"	"2017"	"80-84 years"	"80-84"	"Female"	"F"	"Non-Hispanic"	"2186-5"	16
	"Alabama"	"01"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	"Non-Hispanic"	"2186-5"	29
	"Alabama"	"01"	"2017"	"2017"	"85+ years"	"85+"	"Female"	"F"	"Non-Hispanic"	"2186-5"	22
	"Alabama"	"01"	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	"Non-Hispanic"	"2186-5"	26
	"Alabama"	"01"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	"Non-Hispanic"	"2186-5"	23
